follower_id, followee_id
4,2
2,4
6,2
6,4
8,2
8,4
8,6
6,10
10,6
12,10
8,10
8,12
6,8
12,4
6,12
16,4
16,6
16,14
2,20
22,4
22,12
22,10
24,2
12,2
12,6
12,24
26,12
26,22
26,10
26,4
6,24
6,26
28,8
28,24
6,28
24,12
24,28
24,4
24,8
30,28
4,6
4,8
4,12
4,22
4,24
4,26
30,26
12,22
10,26
10,4
10,2
10,30
10,28
10,24
10,8
10,22
10,16
12,36
10,12
10,36
22,26
38,4
40,4
40,6
40,38
40,24
40,32
40,2
40,28
40,22
38,40
38,22
12,42
42,26
42,12
42,22
22,42
36,12
10,42
4,40
44,2
46,2
2,46
46,44
44,46
44,40
40,44
50,44
50,28
50,38
50,24
50,32
50,34
50,4
50,22
50,10
50,46
50,14
34,50
10,40
10,52
56,2
56,20
60,58
58,60
58,56
58,24
10,56
10,32
10,34
12,40
12,52
12,44
12,28
12,38
12,62
26,42
12,32
12,34
12,20
12,58
102,266
106,146
268,100
268,110
268,144
64,188
324,42
268,10
198,26
198,154
12,26
12,60
2,6
106,160
268,102
268,104
268,106
268,118
268,154
268,212
64,36
64,164
64,42
64,100
64,116
64,220
294,292
294,296
116,268
198,130
368,98
368,266
368,94
216,10
380,394
180,164
442,160
442,230
62,70
62,46
454,462
464,402
912,26
12,604
482,4
486,484
36,376
36,400
36,466
196,22
36,236
36,56
36,86
36,156
196,132
196,82
196,142
268,612
196,190
196,490
500,282
4,70
4,374
526,12
522,196
196,522
12,526
12,498
38,128
546,162
188,368
548,540
12,550
560,500
64,410
268,422
268,430
36,606
36,580
480,6
44,12
452,196
604,196
612,338
546,154
196,612
292,566
476,86
624,26
452,628
196,530
196,586
196,140
642,42
652,26
50,480
134,660
264,36
492,146
12,694
726,26
716,108
690,688
12,692
726,264
906,288
196,216
428,130
926,916
946,12
960,942
574,42
12,972
12,932
12,684
12,686
986,42
662,98
662,154
158,368
196,1008
196,990
196,994
42,162
42,304
12,672
12,942
180,64
180,188
180,192
180,232
134,180
188,180
38,1044
22,1044
42,1050
1060,42
1056,42
300,516
196,1036
268,702
12,48
106,162
268,108
268,94
268,98
370,372
958,492
268,198
268,136
268,160
268,220
294,298
116,26
198,194
364,108
368,146
94,12
270,98
212,268
380,396
180,12
394,402
410,378
412,36
442,302
442,144
454,74
26,196
4,482
8,28
8,38
196,424
36,414
36,418
196,40
196,420
196,430
294,36
500,494
494,248
510,494
12,512
38,46
38,240
546,186
370,36
146,558
560,432
186,150
186,118
268,242
1020,8
158,1024
196,1020
196,982
196,970
196,998
480,350
150,158
604,512
610,514
612,12
476,6
512,8
626,512
636,42
98,428
196,536
652,12
46,38
134,196
522,36
12,690
660,120
726,270
726,12
12,674
906,212
196,674
196,906
196,640
660,220
12,582
36,688
936,258
936,442
926,258
926,924
42,1024
950,42
958,594
574,12
42,494
12,934
12,554
662,546
1012,42
42,524
42,292
42,302
180,432
180,814
268,638
188,26
1056,36
338,1024
1060,26
560,688
196,1060
1036,702
980,452
600,1074
1090,26
1012,1024
2,702
1086,516
1088,12
1090,1088
1092,42
1088,1090
1086,352
1086,114
1094,412
12,1094
412,1094
1090,1092
382,42
196,1064
196,1078
196,1054
196,1094
196,1070
196,1084
12,14
12,18
12,46
12,56
12,50
12,16
62,58
12,1088
106,186
106,158
268,116
268,114
268,140
268,178
268,130
64,26
64,192
294,316
12,130
172,164
368,242
270,36
162,368
380,400
406,26
442,432
464,184
464,410
464,380
464,404
464,378
268,64
484,106
8,52
196,64
36,214
36,270
196,56
196,4
196,252
196,94
36,404
338,64
8,36
196,516
546,102
560,546
64,172
570,46
196,1030
196,992
196,1006
42,384
42,344
42,394
12,1030
12,926
12,1034
482,338
604,528
36,612
292,338
512,598
638,42
570,482
196,160
196,70
196,492
642,196
622,106
128,38
264,12
264,642
264,492
264,266
662,198
664,102
664,364
622,12
666,650
146,492
696,522
660,368
196,702
688,702
196,904
12,904
196,48
196,704
196,634
914,26
936,500
688,42
958,718
574,36
12,928
662,102
158,558
196,1014
926,12
612,302
180,282
188,110
180,368
600,1026
164,1044
1056,266
12,1056
6,976
146,936
300,266
26,688
64,702
980,36
1076,1074
1078,600
1078,1074
600,1076
578,696
578,1058
1086,26
1088,26
1090,1086
1086,1090
1086,1088
1090,560
1090,42
1092,1086
1086,546
1092,1088
1086,116
1086,98
12,30
12,64
64,12
4,50
4,38
68,10
10,44
10,62
58,28
350,480
58,12
10,68
10,38
6,44
6,46
6,62
6,22
10,50
50,12
70,6
70,4
70,40
70,44
70,2
70,24
70,28
70,62
70,46
70,10
70,50
70,12
38,70
38,12
38,10
68,42
50,70
46,50
46,12
46,6
46,70
46,62
6,80
6,82
86,14
84,86
84,14
4,42
88,4
88,6
88,40
88,52
90,42
90,26
70,90
90,70
92,4
92,22
92,40
92,70
4,92
94,68
94,10
96,10
96,94
96,68
98,100
100,12
98,102
98,12
98,26
98,104
100,26
98,42
104,98
12,100
106,26
100,102
106,12
100,106
106,100
104,12
100,98
106,102
98,106
104,102
98,110
104,106
110,100
102,98
108,106
104,100
106,108
102,106
106,10
108,26
104,26
110,108
106,42
104,10
110,10
108,42
102,108
110,12
108,98
102,10
100,42
108,110
102,12
104,108
110,98
108,12
108,102
98,94
98,10
108,36
26,98
98,108
26,100
26,106
26,108
26,104
68,94
68,96
12,98
12,106
12,110
12,104
38,28
38,44
38,24
38,32
38,6
44,70
44,38
44,6
106,98
22,40
100,114
12,92
12,66
78,102
114,122
62,4
268,42
268,126
64,106
64,150
310,42
310,12
308,310
308,318
348,164
352,36
352,100
172,12
368,144
258,114
374,70
402,396
406,6
406,42
404,394
410,380
64,412
428,102
184,464
12,424
12,236
12,276
12,330
484,26
8,62
196,96
338,196
494,12
548,522
560,130
560,178
186,558
186,198
268,558
268,362
26,558
178,130
150,110
196,604
610,608
616,378
8,586
8,160
8,194
8,248
8,444
42,130
42,98
512,626
630,628
636,222
196,136
656,70
128,8
264,196
492,264
492,302
662,428
660,102
162,8
688,690
682,12
12,906
196,588
270,726
270,368
270,268
230,102
36,516
918,130
36,692
36,46
36,532
36,508
36,652
196,496
36,616
36,674
196,662
920,802
500,798
924,428
926,42
926,264
936,270
936,924
702,904
196,948
196,912
196,944
196,592
626,12
958,930
960,130
574,196
12,982
662,126
662,194
1018,796
652,1024
184,1024
12,914
196,1024
196,958
42,334
42,648
42,596
42,652
12,930
12,996
196,670
188,106
180,270
164,482
64,1044
1036,666
976,12
976,196
44,50
94,96
114,102
114,106
106,104
22,38
22,92
102,110
102,100
102,120
114,118
114,116
10,70
268,96
268,150
308,16
36,180
172,10
374,236
184,402
400,380
404,402
184,410
412,12
442,126
378,380
12,268
12,322
12,312
12,406
12,302
12,248
12,426
12,246
484,110
8,34
36,248
196,284
36,320
36,470
36,288
36,488
36,152
36,200
36,132
36,368
338,132
50,8
292,318
536,110
248,494
338,220
196,548
560,258
510,12
258,560
196,562
574,266
584,42
606,550
606,540
8,542
134,546
8,546
8,316
428,546
146,332
636,268
196,112
196,504
196,594
642,26
578,196
42,198
428,662
664,256
664,10
660,546
660,478
162,42
12,700
196,664
196,632
270,442
270,664
352,258
352,916
36,566
36,630
36,608
196,916
36,492
920,12
264,326
924,36
924,130
926,442
338,624
196,666
512,36
196,920
196,708
926,958
926,960
926,928
600,982
600,36
186,1024
196,1002
12,802
50,196
12,966
1012,26
26,946
1018,10
42,8
42,194
42,520
42,210
42,356
42,946
12,980
196,978
196,1032
188,120
188,220
180,428
180,162
164,264
114,42
12,78
64,10
64,198
330,12
36,338
352,106
352,118
352,146
368,158
368,110
368,130
372,370
70,374
404,378
442,270
12,796
428,194
600,196
428,188
442,114
442,242
378,394
378,464
12,340
12,280
12,316
12,436
12,428
12,228
12,238
12,240
12,72
12,404
12,454
12,438
12,396
12,328
12,124
36,128
486,26
8,30
36,406
36,262
36,332
196,292
196,154
36,486
36,150
196,208
196,128
36,308
196,146
36,370
338,82
338,142
920,812
12,350
498,494
498,258
494,114
292,16
292,436
542,8
414,12
550,196
550,548
560,442
186,232
480,576
586,12
606,514
606,544
8,446
8,590
8,184
8,220
8,270
338,618
146,136
146,546
628,466
266,22
636,526
98,558
98,622
570,28
570,138
196,600
578,12
38,50
660,134
660,122
662,242
664,42
664,198
622,98
440,666
660,558
352,726
12,726
196,546
196,726
196,644
196,508
270,8
352,320
230,428
36,642
918,26
432,500
320,270
432,326
432,12
36,290
500,136
36,496
926,432
726,936
726,114
924,726
926,130
580,196
12,580
726,134
196,930
196,686
926,196
926,962
36,592
688,904
936,104
976,526
716,986
986,26
26,972
26,716
114,98
114,12
106,36
92,28
120,26
102,104
10,118
10,92
2,62
192,64
268,164
268,192
330,42
352,26
368,352
12,120
368,106
368,270
368,232
94,114
94,36
270,114
258,42
258,36
268,352
384,114
384,130
384,146
384,158
384,194
36,374
36,104
36,130
6,406
394,380
428,42
442,220
378,402
378,404
12,346
12,76
12,258
12,466
12,358
12,478
12,398
12,256
12,460
12,270
12,364
12,418
12,264
12,218
12,214
12,414
12,306
486,110
8,40
8,16
196,102
196,244
196,254
36,382
196,288
196,452
36,448
62,42
338,424
494,500
536,484
338,150
338,346
338,178
550,522
560,386
338,482
36,584
598,196
606,196
608,606
26,612
134,558
8,494
8,352
8,134
8,146
476,70
146,120
638,222
570,58
642,12
642,530
642,338
12,598
664,428
664,110
428,12
12,702
196,602
196,658
196,622
660,136
552,12
352,326
320,726
36,644
36,534
36,594
920,140
510,36
926,918
936,926
702,12
726,926
196,680
36,712
964,12
936,726
976,26
726,958
986,716
26,976
1016,796
600,1024
1026,26
12,1014
976,1024
196,1010
196,1018
196,1012
42,316
114,110
114,100
106,114
22,50
100,104
78,118
102,114
124,26
10,106
34,62
268,162
268,230
330,118
352,98
368,126
258,26
380,184
6,408
428,220
26,222
444,2
444,10
378,410
12,362
12,394
12,400
12,252
12,378
12,442
12,420
12,272
12,300
12,324
12,360
12,372
12,474
12,434
12,384
488,26
488,486
196,116
196,164
196,410
36,80
196,334
196,242
36,366
36,348
196,408
36,462
196,220
196,212
196,148
196,210
338,6
338,24
338,52
494,498
268,146
258,498
550,514
186,250
510,186
268,282
26,164
36,522
196,590
36,590
64,590
606,522
134,198
8,526
8,512
8,596
42,516
428,26
338,612
476,8
630,12
638,268
642,402
642,154
38,196
664,242
664,154
664,134
664,158
664,118
662,42
662,26
662,110
428,440
12,706
12,654
196,692
270,494
230,270
920,326
922,258
500,422
936,146
936,266
726,924
926,102
196,940
196,954
196,926
964,36
976,42
716,42
1024,42
1024,222
1024,972
1024,612
1024,158
1024,662
1024,300
1026,600
196,908
42,568
42,960
12,1020
188,232
36,1044
1056,220
1056,146
64,196
1056,12
976,666
146,1056
146,180
546,662
546,120
46,42
196,1062
12,954
114,94
114,10
114,26
100,110
12,96
12,94
92,12
10,104
268,194
220,36
334,12
36,352
368,230
270,102
270,352
258,98
184,380
384,10
144,140
394,184
394,404
410,404
12,412
444,4
444,46
378,42
12,472
12,314
12,352
12,376
12,422
12,294
12,388
12,468
12,74
12,226
12,354
12,432
12,278
488,484
8,44
36,358
36,206
248,36
36,244
196,274
36,336
64,232
134,420
338,40
180,196
494,270
268,500
516,268
118,516
516,114
26,520
12,518
196,550
186,510
546,42
590,12
606,548
196,610
528,598
134,602
8,26
8,94
8,172
8,374
8,456
146,602
42,322
42,222
476,38
628,630
98,120
570,62
642,36
642,378
106,258
492,12
664,662
664,12
664,194
666,440
162,660
14,86
904,12
906,26
906,114
906,250
196,18
196,700
196,706
270,906
352,264
916,726
230,12
230,146
36,558
918,432
918,12
320,196
36,588
920,660
924,326
936,928
338,552
128,46
196,952
196,932
964,196
976,172
932,12
1024,26
1024,228
1024,94
1024,440
1026,982
196,1022
12,666
12,696
196,976
666,12
188,302
196,1044
146,926
546,146
546,164
46,200
12,678
106,96
22,6
92,2
102,36
12,114
12,118
120,42
102,26
10,120
10,80
64,160
334,64
352,12
368,220
270,242
270,100
384,110
384,42
384,106
384,144
384,118
144,368
144,150
36,184
394,378
410,184
410,402
410,394
26,338
444,62
444,92
102,268
12,282
12,296
12,430
12,250
12,320
12,262
12,54
12,380
12,458
12,290
12,390
12,440
12,392
12,206
12,304
12,450
486,488
8,22
8,20
8,50
196,80
36,304
36,452
196,368
36,286
196,184
36,70
36,174
196,338
338,44
338,28
494,42
490,518
258,510
338,412
196,950
186,422
186,126
186,440
26,158
546,560
196,928
350,6
580,546
12,590
606,608
134,510
8,310
8,144
8,212
476,46
628,12
570,34
12,642
642,452
492,196
664,26
664,516
146,660
694,64
14,570
904,710
196,654
196,676
676,12
196,572
690,904
270,660
352,478
352,500
230,660
790,694
36,676
36,682
36,530
36,638
920,442
36,540
926,270
926,326
924,926
924,936
726,684
926,478
338,642
196,946
196,956
196,656
976,110
990,860
1024,12
1024,22
1024,130
1024,98
1024,198
1024,322
1024,114
1024,56
1024,268
1024,4
1024,196
1026,42
196,1004
12,102
12,116
78,42
78,40
120,114
26,120
12,80
114,120
10,84
26,124
26,114
26,102
96,12
96,106
10,96
10,94
10,116
10,100
10,102
10,126
10,58
10,20
10,114
10,98
10,64
10,78
126,10
128,4
128,6
128,58
36,26
36,10
36,42
36,64
36,100
26,64
36,98
26,110
36,106
36,110
36,102
36,108
36,114
26,78
26,94
36,22
26,118
26,116
36,94
36,118
36,116
130,12
130,36
130,42
130,98
130,106
130,110
130,104
130,114
130,102
130,116
132,4
138,2
138,10
138,12
138,6
70,92
70,142
142,70
144,12
144,10
144,26
144,42
144,114
10,144
10,138
10,110
10,108
10,130
102,130
70,88
70,128
70,42
70,26
102,134
134,102
10,136
10,60
10,66
134,10
134,12
10,46
10,142
134,36
134,26
10,128
10,134
10,124
10,132
146,102
146,98
146,106
146,108
146,10
146,12
146,110
146,100
146,104
146,114
146,36
146,26
146,130
146,134
4,132
4,10
150,144
148,10
114,36
114,130
114,144
114,146
152,70
152,142
70,152
154,26
154,12
154,120
154,102
102,118
102,116
158,102
158,26
158,98
158,106
158,104
158,108
158,114
12,158
162,100
164,26
164,144
164,132
64,102
334,42
338,216
352,102
352,114
352,198
368,136
368,160
368,364
94,368
94,98
94,26
258,352
384,160
384,100
384,150
384,302
232,288
144,268
394,400
394,396
184,404
26,412
444,6
50,444
102,352
102,258
12,310
12,382
12,260
12,332
12,284
12,266
12,318
12,244
12,234
12,410
12,386
12,254
12,342
12,470
12,476
12,288
12,464
432,42
918,814
434,350
44,472
196,158
196,310
196,342
36,410
196,170
196,8
338,34
338,16
510,258
268,196
196,512
12,522
518,490
524,42
258,500
344,42
344,26
546,526
146,526
98,36
98,338
98,134
186,368
